supplier_name,facility_name,risk_type,risk_level,timeframe,ilo_sdg_8_8_2_score,working_poverty_rate_pct,work_injury_coverage_rate,minimum_wage_ppp_usd_monthly,context
Techtronic Industries,TTI Floor Care N.A.,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Techtronic Industries,TTI Dongguan Hub,Worker Rights - Labour Rights,Very High,Baseline,9.32,35.9,0.09,543.541,ILO SDG 8.8.2 score 9.32 (significant labour rights constraints); working poverty rate: 35.9% (moderate-high); work injury scheme coverage: 0.09; minimum wage: PPP USD 544/month. Baseline risk level: Very High.
Techtronic Industries,TTI Dongguan Hub,Worker Rights - Remuneration,Very High,Baseline,9.32,35.9,0.09,543.541,ILO SDG 8.8.2 score 9.32 (significant labour rights constraints); working poverty rate: 35.9% (moderate-high); work injury scheme coverage: 0.09; minimum wage: PPP USD 544/month. Baseline risk level: Very High.
Techtronic Industries,TTI Vietnam (SHTP),Worker Rights - Labour Rights,Very High,Baseline,9.14,29.6,1.748,692.668,ILO SDG 8.8.2 score 9.14 (significant labour rights constraints); working poverty rate: 29.6% (moderate-high); work injury scheme coverage: 1.748; minimum wage: PPP USD 693/month. Baseline risk level: Very High.
Techtronic Industries,TTI Vietnam (SHTP),Worker Rights - Remuneration,Very High,Baseline,9.14,29.6,1.748,692.668,ILO SDG 8.8.2 score 9.14 (significant labour rights constraints); working poverty rate: 29.6% (moderate-high); work injury scheme coverage: 1.748; minimum wage: PPP USD 693/month. Baseline risk level: Very High.
Techtronic Industries,DreBo Werkzeugfabrik,Worker Rights - Labour Rights,Very Low,Baseline,0.38,100.0,0.0,2922.223,"ILO SDG 8.8.2 score 0.38 (low labour rights violations); working poverty rate: 100.0% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,922/month. Baseline risk level: Very Low."
Techtronic Industries,DreBo Werkzeugfabrik,Worker Rights - Remuneration,Very Low,Baseline,0.38,100.0,0.0,2922.223,"ILO SDG 8.8.2 score 0.38 (low labour rights violations); working poverty rate: 100.0% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,922/month. Baseline risk level: Very Low."
Techtronic Industries,Ryobi Die Casting (USA),Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Techtronic Industries,Ryobi Die Casting (USA),Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"S.C. Johnson & Son, Inc.",Waxdale Facility,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"S.C. Johnson & Son, Inc.",Waxdale Facility,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"S.C. Johnson & Son, Inc.",North America HQ,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"S.C. Johnson & Son, Inc.",North America HQ,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
